cmbLocation,tiName,cmbMake,cmbModel,cmbCabinet,cmbUPosition,ip_idrac,ip_base,power,power measurement
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD16.PULSE.PROD,Dell Inc.,PowerEdge R640,A-14,21,10.31.32.39,10.30.32.39,384,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD17.PULSE.PROD,Dell Inc.,PowerEdge R640,A-14,19,10.31.32.40,10.30.32.40,415,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD18.PULSE.PROD,Dell Inc.,PowerEdge R640,A-14,28,10.31.32.41,10.30.32.41,407,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD19.PULSE.PROD,Dell Inc.,PowerEdge R640,A-14,15,10.31.32.42,10.30.32.42,425,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD20.PULSE.PROD,Dell Inc.,PowerEdge R640,A-16,22,10.31.32.43,10.30.32.43,420,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD21.PULSE.PROD,Dell Inc.,PowerEdge R640,A-16,19,10.31.32.44,10.30.32.44,396,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD22.PULSE.PROD,Dell Inc.,PowerEdge R640,A-16,15,10.31.32.45,10.30.32.45,418,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD23.PULSE.PROD,Dell Inc.,PowerEdge R640,A-16,21,10.31.32.46,10.30.32.46,407,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD24.PULSE.PROD,Dell Inc.,PowerEdge R640,A-16,28,10.31.32.47,10.30.32.47,400,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD25.PULSE.PROD,Dell Inc.,PowerEdge R640,A-18,16,10.31.32.48,10.30.32.48,423,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD26.PULSE.PROD,Dell Inc.,PowerEdge R640,A-01,15,10.31.32.49,10.30.32.49,418,W
MA2 > CAGE 15A,MA2-ESX01.PULSE.PROD,Dell Inc.,PowerEdge R650,A-01,13,10.31.8.22,10.30.8.22,390,W
MA2 > CAGE 15A,MA2-ESX02.PULSE.PROD,Dell Inc.,PowerEdge R650,A-03,13,10.31.8.23,10.30.8.23,426,W
MA2 > CAGE 15A,MA2-ESX03.PULSE.PROD,Dell Inc.,PowerEdge R650,A-05,13,10.31.8.24,10.30.8.24,444,W
MA2 > CAGE 15A,MA2-ESX04.PULSE.PROD,Dell Inc.,PowerEdge R650,A-07,13,10.31.8.25,10.30.8.25,435,W
MA2 > CAGE 15A,MA2-ESX05.PULSE.PROD,Dell Inc.,PowerEdge R650,A-09,13,10.31.8.26,10.30.8.26,478,W
MA2 > CAGE 15A,MA2-ESX06.PULSE.PROD,Dell Inc.,PowerEdge R650,A-11,13,10.31.8.27,10.30.8.27,419,W
MA2 > CAGE 15A,MA2-NETAPP01.PULSE.PROD,"NetApp, Inc.",FAS8300,A-12,4
MA2 > CAGE 15A,MA2-NETAPPSTORAGE01.PULSE.PROD,"NetApp, Inc.",DS224C,A-12,8
MA2 > CAGE 15A,MA2-PXC01.PULSE.PROD,Dell Inc.,PowerEdge R640,A-05,18,10.31.49.21,10.30.49.21,195,W
MA2 > CAGE 15A,MA2-PXC02.PULSE.PROD,Dell Inc.,PowerEdge R640,A-07,18,10.31.49.22,10.30.49.22,191,W
MA2 > CAGE 15A,MA2-PXC03.PULSE.PROD,Dell Inc.,PowerEdge R640,A-09,18,10.31.49.23,10.30.49.23,193,W
